UTF8 // codepage
Фантастика	  SF, Fantasy
 sf_history Альтернативна історія	  Alternative history
 sf_action Бойова фантастика	  Action SF
 sf_epic Епічна фантастика	  Epic SF
 sf_heroic Героїчна фантастика	  Heroic SF
 sf_detective Детективна фантастика	  Detective SF
 sf_cyberpunk Кіберпанк	  Cyberpunk
 sf_space Космічна фантастика	  Space SF
 sf_social Соціальна фантастика	  Social SF
 sf_horror Жахи	  Horror
 sf_humor Гумористична фантастика	  Humor SF
 sf_fantasy Фентезі	  Fantasy
 sf Наукова фантастика	  Science Fiction
 child_sf Дитяча фантастика	  Science Fiction for Kids
 sf_fantasy_city Міське фентезі	  Fantasy city
 sf_postapocalyptic Постапокаліпсис	  Postapocalyptic
 love_sf Любовна фантастика	  Love SF
 gothic_novel Готичний роман	  Gothic novel
 nsf Ненаукова фантастика	  Non Science Fiction
 fairy_fantasy Казкова фантастика	  Fairy SF
 sf_etc Фантастика: інше	  Other SF
 sf_irony Іронічна фантастика	  Ironical SF
 sf_fantasy_irony Іронічне фентезі	  Ironyc female fantasy
 sf_mystic Містика	  Mystic
 sf_space_opera Космоопера	  Space Opera
 sf_stimpank Стімпанк	  Stimpank
 sf_technofantasy Технофентезі	  Technofantasy
 popadanec Попаданці	  popadanec 
 historical_fantasy Історичне фентезі	  Historical fantasy
 humor_fantasy Гумористичне фентезі	  humor_fantasy
Детективи і Трилери	  Detectives, Thrillers
 sf_detective Детективна фантастика	  Detective SF
 det_classic Класичний детектив	  Classical Detective
 det_police Поліцейський детектив	  Police Stories
 det_action Бойовик	  Action
 det_irony Іронічний детектив	  Ironical Detective
 det_history Історичний детектив	  Historical Detective
 det_espionage Шпигунський детектив	  Espionage Detective
 det_crime Кримінальний детектив	  Crime Detective
 det_political Політичний детектив	  Political Detective
 det_maniac Маніяки	  Maniacs
 det_hard Крутий детектив	  Hard-boiled Detective
 thriller Трилер	  Thrillers
 detective Детективи: інше	  Detective
 love_detective Любовні детективи	  Detective Romance
 child_det Дитячі гостросюжетні		  Detective for Kids
 thriller_legal Юридичний трилер	  Legal thriller
 thriller_medical Медичний трилер	  Medical thriller
 thriller_techno Техно трилер	  Techno Thriller
 det_cozy Дамський детективний роман	  Cozy Mysteries
Проза	  Prose
 prose Проза	  Prose
 prose_classic Класична проза	  Classical Prose
 prose_history Історична проза	  Historical Prose
 prose_contemporary Сучасна проза	  Contemporary Prose
 prose_counter Контркультура	  Counterculture
 prose_rus_classic Російська класична проза	  Russian Classics
 prose_su_classics Радянська класична проза	  Soviet Classics
 prose_military Про війну	  Military
 aphorisms Афоризми	  Aphorisms
 essay Есе, нарис, етюд, начерк	  Essay
 story Новела	  Story
 great_story Повість	  Great story
 short_story Розповідь	  Short story
 roman Роман	  Roman
 extravaganza Феєрія	  Extravaganza
 epistolary_fiction Епістолярна проза	  Epistolary
 prose_epic Епопея	  Epic
 prose_magic Магічний реалізм	  Magic realism
 sagas Сімейний роман/Сімейна сага	  Sagas
 dissident Антирадянська література	  Anti-Soviet fiction
 prose_sentimental Сентиментальна проза	  prose_sentimental
Любовні романи	  Love
 love_contemporary Сучасні любовні романи	  Contemporary Romance
 love_history Історичні любовні романи	  Historical Romance
 love_detective Любовні детективи	  Detective Romance
 love_short Короткі любовні романи	  Short Romance
 love_erotica Еротика	  Erotica
 love Про любов	  About love
 love_sf Любовна фантастика	  Love SF
 love_hard Порно	  Porno
 det_cozy Дамський детективний роман	  Cozy Mysteries
Пригоди	  Adventures
 adv_western Вестерн	  Western
 adv_history Історичні пригоди	  History
 adv_indian Пригоди про індійців	  Indians
 adv_maritime Морські пригоди	  Maritime Fiction
 adv_geo Подорожі і географія	  Travel & Geography
 adv_animal Природа і тварини	  Nature & Animals
 adventure Пригоди: інше	  Misk Adventures
 child_adv Дитячі пригоди	  Adventures for Kids
Дитяче	  Children's
 child_tale Казка	  Fairy Tales
 child_verse Дитячі вірші	  Verses for Kids
 child_prose Дитяча проза	  Prose for Kids
 child_sf Дитяча фантастика	  Science Fiction for Kids
 child_det Дитячі гостросюжетні	  Detective for Kids
 child_adv Дитячі пригоди	  Adventures for Kids
 child_education Дитяча освітня література	  Education for Kids
 children Дитяча література: інше	  For Kids: Misk
 child_folklore Дитячий фольклор	  Child Folklore
 prose_game Книга-гра	  Game book
Поезія	  Poetry, Dramaturgy
 child_verse Дитячі вірші	  Verses for Kids
 poetry Поезія: інше	  Poetry
 humor_verse Гумористичні вірші	  Humor Verses
 fable Байки	  Fable
 vers_libre Верлібри	  Vers libre
 visual_poetry Візуальна поезія	  Visual Poetry
 lyrics Лірика	  Lyrics
 palindromes Паліндроми	  Palindromes
 song_poetry Пісенна поезія	  Song Poetry
 experimental_poetry Експериментальна поезія	  Experimental Poetry
 epic_poetry Епічна поезія	  Epic Poetry
